"filename", "language", "TypeScript", "XML", "HTML", "JavaScript", "SCSS", "CSS", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.html", "HTML", 0, 0, 664, 0, 0, 0, 0, 0, 0, 0, 11, 675
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.scss", "SCSS", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 29, 241
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/company/company.component.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-content/main-content.component.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.scss", "SCSS", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 9, 56
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/main-menu/main-menu.component.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post-content/post-content.component.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.html", "HTML", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 56
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.scss", "SCSS", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 26, 122
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/components/post/post.component.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/community-card/community-card.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.scss", "SCSS", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 23, 214
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 51
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.scss", "SCSS", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 27, 261
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/job-card/job-card.component.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
